arrival_month,bookings,canceled,not_canceled,cancellation_percent
2015-07,2774,1259,1515,45.38572458543619
2015-08,3883,1598,2285,41.1537471027556
2015-09,5109,2093,3016,40.966921119592875
2015-10,4951,1732,3219,34.982831751161385
2015-11,2337,486,1851,20.79589216944801
2015-12,2913,973,1940,33.40199107449365
2016-01,2248,557,1691,24.777580071174377
2016-02,3884,1335,2549,34.37178166838311
2016-03,4819,1477,3342,30.649512346959952
2016-04,5425,2060,3365,37.97235023041475
2016-05,5475,1915,3560,34.97716894977169
2016-06,5290,2096,3194,39.62192816635161
2016-07,4560,1494,3066,32.76315789473684
2016-08,5055,1825,3230,36.102868447082095
2016-09,5391,2022,3369,37.506956037840844
2016-10,6196,2514,3682,40.57456423499032
2016-11,4434,1634,2800,36.851601262967975
2016-12,3846,1395,2451,36.27145085803432
2017-01,3673,1249,2424,34.00490062619112
2017-02,4168,1358,2810,32.58157389635317
2017-03,4949,1671,3278,33.76439684784805
2017-04,4035,1730,2305,42.874845105328376
