field,count,missing,mean,sd,min,q1,median,q3,p95,p99,max
lead_time,95415.0,0,96.58701462034271,104.61574508174617,0.0,15.0,60.0,145.0,314.0,426.0,737.0
previous_cancellations,95415.0,0,0.10601058533773516,0.9383645589310062,0.0,0.0,0.0,0.0,1.0,1.0,26.0
previous_bookings_not_canceled,95415.0,0,0.13352198291673217,1.3846496290065817,0.0,0.0,0.0,0.0,0.0,3.0,61.0
adr,95414.0,1,93.71266082545539,46.53548934541428,0.0,65.0,88.0,115.0,173.95,231.0,5400.0
arrival_date_year,95415.0,0,2015.9461091023425,0.635343068758311,2015.0,2016.0,2016.0,2016.0,2017.0,2017.0,2017.0
arrival_date_week_number,95415.0,0,27.620709532044227,14.928993090591884,1.0,14.0,29.0,41.0,50.0,53.0,53.0
arrival_date_day_of_month,95415.0,0,15.641848765917308,8.704713950536997,1.0,8.0,16.0,23.0,29.0,31.0,31.0
stays_in_weekend_nights,95415.0,0,0.9037991929990044,0.996146035194672,0.0,0.0,1.0,2.0,2.0,4.0,19.0
stays_in_week_nights,95415.0,0,2.4524026620552326,1.9068031246951864,0.0,1.0,2.0,3.0,5.0,10.0,50.0
adults,95415.0,0,1.8422889482785725,0.597476931233039,0.0,2.0,2.0,2.0,2.0,3.0,55.0
children,95411.0,4,0.09291381496892392,0.3777053694196913,0.0,0.0,0.0,0.0,1.0,2.0,10.0
babies,95415.0,0,0.008227217942671488,0.10064778730019458,0.0,0.0,0.0,0.0,0.0,0.0,10.0
is_repeated_guest,95415.0,0,0.033024157627207465,0.1787005800898999,0.0,0.0,0.0,0.0,0.0,1.0,1.0
required_car_parking_spaces,95415.0,0,0.06513650893465388,0.25018442475325303,0.0,0.0,0.0,0.0,1.0,1.0,8.0
total_of_special_requests,95415.0,0,0.5333123722685112,0.7718007419510637,0.0,0.0,0.0,1.0,2.0,3.0,5.0
