hotel,lead_time_group,bookings,canceled,not_canceled,cancellation_percent
City Hotel,0–7,9397,1148,8249,12.216664893050973
City Hotel,8–30,10445,3219,7226,30.818573480134035
City Hotel,31–90,17958,7222,10736,40.21605969484352
City Hotel,91–180,12526,5849,6677,46.69487466070573
City Hotel,181–365,10781,7050,3731,65.39282070308877
City Hotel,366+,1720,1531,189,89.01162790697674
Resort Hotel,0–7,7850,478,7372,6.089171974522293
Resort Hotel,8–30,5489,1131,4358,20.60484605574786
Resort Hotel,31–90,7576,2348,5228,30.99260823653643
Resort Hotel,91–180,6330,2353,3977,37.17219589257504
Resort Hotel,181–365,4984,1995,2989,40.02808988764045
Resort Hotel,366+,359,149,210,41.5041782729805
