field,raw_missing,raw_missing_percent
hotel,0,0.0
lead_time,0,0.0
arrival_date_year,0,0.0
arrival_date_month,0,0.0
arrival_date_week_number,0,0.0
arrival_date_day_of_month,0,0.0
stays_in_weekend_nights,0,0.0
stays_in_week_nights,0,0.0
adults,0,0.0
children,4,0.004192212964418593
babies,0,0.0
meal,0,0.0
country,473,0.4957291830424986
market_segment,0,0.0
distribution_channel,0,0.0
is_repeated_guest,0,0.0
previous_cancellations,0,0.0
previous_bookings_not_canceled,0,0.0
reserved_room_type,0,0.0
assigned_room_type,0,0.0
booking_changes,0,0.0
deposit_type,0,0.0
agent,13745,14.405491798983387
company,89515,93.81648587748258
days_in_waiting_list,0,0.0
customer_type,0,0.0
adr,0,0.0
required_car_parking_spaces,0,0.0
total_of_special_requests,0,0.0
