dimension,group,rows,cancellations,actual_cancellation_rate,predicted_cancellation_rate,error_rate,f1,accuracy,precision,recall,roc_auc,tn,fp,fn,tp
hotel,Resort Hotel,7459,2666,0.35742056575948516,0.4244536801179783,0.20244000536264914,0.7410836762688614,0.7975599946373508,0.682564750473784,0.8105776444111028,0.8843623382373863,3788,1005,505,2161
hotel,City Hotel,16336,7060,0.4321743388834476,0.6073702252693438,0.2558765915768854,0.7538570250853845,0.7441234084231146,0.645132029832695,0.906657223796034,0.8754568584192415,5755,3521,659,6401
lead_time_band,31–90,3995,1571,0.3932415519399249,0.5544430538172715,0.2753441802252816,0.7094558901215002,0.7246558197747184,0.6063205417607224,0.8548695098663271,0.8376822166621499,1552,872,228,1343
lead_time_band,181–365,5769,2897,0.5021667533368002,0.6689200901369388,0.24267637372161552,0.7927767910005921,0.7573236262783845,0.693962166364343,0.9244045564376941,0.8636882910281791,1691,1181,219,2678
lead_time_band,91–180,7564,3617,0.47818614489687994,0.673320994182972,0.25171866737176096,0.7814006888633754,0.748281332628239,0.6681720007853917,0.9408349460879182,0.8830464744399091,2257,1690,214,3403
lead_time_band,0–7,2388,259,0.10845896147403684,0.15452261306532664,0.17504187604690116,0.3343949044585987,0.8249581239530989,0.2845528455284553,0.40540540540540543,0.7564457364833128,1865,264,154,105
lead_time_band,8–30,3011,933,0.3098638326137496,0.3507140484888741,0.2720026569246098,0.5882352941176471,0.7279973430753902,0.5539772727272727,0.6270096463022508,0.8048225321775514,1607,471,348,585
lead_time_band,366+,1068,449,0.4204119850187266,0.46441947565543074,0.04588014981273408,0.9481481481481482,0.954119850187266,0.9032258064516129,0.9977728285077951,0.9951192921984234,571,48,1,448
deposit_type,No Deposit,21482,7415,0.3451727027278652,0.5020016758216181,0.2644539614561028,0.6878399912083082,0.7355460385438972,0.5803968842729971,0.84409979770735,0.8380114509307423,9542,4525,1156,6259
deposit_type,Non Refund,2291,2290,0.9995635093845482,1.0,0.00043649061545176777,0.9997817070508622,0.9995635093845482,0.9995635093845482,1.0,1.0,0,1,0,2290
deposit_type,Refundable,22,21,0.9545454545454546,0.5909090909090909,0.36363636363636365,0.7647058823529411,0.6363636363636364,1.0,0.6190476190476191,1.0,1,0,8,13
market_segment,Groups,2676,1800,0.672645739910314,0.7339312406576981,0.06726457399103139,0.9521785334750266,0.9327354260089686,0.9124236252545825,0.9955555555555555,0.9905416032470826,704,172,8,1792
market_segment,Offline TA/TO,3770,1297,0.3440318302387268,0.3976127320954907,0.10079575596816977,0.8640915593705293,0.8992042440318302,0.8058705803869246,0.9313801079414032,0.9696709037403496,2182,291,89,1208
market_segment,Online TA,13892,5958,0.42887993089547943,0.6352577022746905,0.3195364238410596,0.6997226544003247,0.6804635761589404,0.5860623229461757,0.8680765357502518,0.787714287805581,4281,3653,786,5172
market_segment,Corporate,640,155,0.2421875,0.2359375,0.1625,0.6601307189542484,0.8375,0.6688741721854304,0.6516129032258065,0.9101962088460259,435,50,54,101
market_segment,Direct,2640,485,0.18371212121212122,0.23674242424242425,0.20909090909090908,0.5027027027027027,0.7909090909090909,0.4464,0.5752577319587628,0.7949266869184585,1809,346,206,279
market_segment,Complementary,105,15,0.14285714285714285,0.08571428571428572,0.19047619047619047,0.16666666666666666,0.8095238095238095,0.2222222222222222,0.13333333333333333,0.5844444444444444,83,7,13,2
market_segment,Aviation,72,16,0.2222222222222222,0.20833333333333334,0.20833333333333334,0.5161290322580645,0.7916666666666666,0.5333333333333333,0.5,0.7555803571428571,49,7,8,8
customer_type,Transient-Party,3050,516,0.16918032786885245,0.31081967213114753,0.19081967213114753,0.6024590163934426,0.8091803278688524,0.4651898734177215,0.8546511627906976,0.9052892292725905,2027,507,75,441
customer_type,Transient,20108,9132,0.45414760294410184,0.6009548438432465,0.2522379152576089,0.7609351432880844,0.7477620847423911,0.6679907315458458,0.8839246605343846,0.8623972831576782,6964,4012,1060,8072
customer_type,Contract,521,66,0.12667946257197696,0.08637236084452975,0.044145873320537425,0.7927927927927928,0.9558541266794626,0.9777777777777777,0.6666666666666666,0.9895104895104896,454,1,22,44
customer_type,Group,116,12,0.10344827586206896,0.09482758620689655,0.11206896551724138,0.43478260869565216,0.8879310344827587,0.45454545454545453,0.4166666666666667,0.9106570512820513,98,6,7,5
