candidate,family,representation,fold,train_rows,validation_rows,training_canceled,validation_canceled,training_majority_class,encoded_columns,f1,accuracy,precision,recall,roc_auc,tn,fp,fn,tp,training_f1,training_accuracy,training_roc_auc,f1_train_minus_validation,fit_seconds,convergence_warning,iterations,representation_unchanged_after_prediction,validation_membership_sha256,trees,mean_tree_depth,mean_tree_leaves
majority,majority,none,1,23797,23893,8561,8573,0,0,0.0,0.6411919809149124,0.0,0.0,0.5,15320,0,8573,0,0.0,0.6402487708534689,0.5,0.0,0.003802666999945359,False,,True,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0,,
lr_full,logistic_regression,full,1,23797,23893,8561,8573,0,332,0.6432309911395013,0.6376763068681204,0.4973234769309202,0.9102997783739648,0.8526417834058535,7432,7888,769,7804,0.8540438871473354,0.9021725427574905,0.9655278196111736,0.21081289600783404,0.7286477359998571,False,101.0,True,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0,,
lr_selected,logistic_regression,selected,1,23797,23893,8561,8573,0,247,0.6936912751677853,0.8089817101243042,0.8168168168168168,0.6028228158171002,0.8751660558271019,14161,1159,3405,5168,0.8502397173858188,0.9002395259906711,0.9640474814060442,0.15654844221803355,0.6388047890000053,False,95.0,True,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0,,
rf_full,random_forest,full,1,23797,23893,8561,8573,0,332,0.6579284369114877,0.8099443351609258,0.9287537218205019,0.5093899451767177,0.894755050999571,14985,335,4206,4367,0.987615375627994,0.9910913140311804,0.9993555391973511,0.32968693871650623,5.1702762049999365,False,,True,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,100,44.15,2287.52
rf_selected,random_forest,selected,1,23797,23893,8561,8573,0,247,0.6672164330159682,0.8142133679320303,0.9336970205623164,0.5190715035576811,0.8976430572149675,15004,316,4123,4450,0.9874393877431793,0.9909652477203009,0.9993433914211447,0.3202229547272111,5.062479204999818,False,,True,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,100,45.05,2231.32
majority,majority,none,2,47690,23776,17134,8867,0,0,0.0,0.6270609017496636,0.0,0.0,0.5,14909,0,8867,0,0.0,0.6407213252254141,0.5,0.0,0.0015888750003796304,False,,True,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0,,
lr_full,logistic_regression,full,2,47690,23776,17134,8867,0,421,0.7024551583767968,0.8032469717362046,0.8055433989788475,0.6227585429119206,0.8874123254249722,13576,1333,3345,5522,0.8044766708701135,0.8699517718599287,0.9460833091533737,0.1020215124933167,1.4999985010003911,False,160.0,True,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0,,
lr_selected,logistic_regression,selected,2,47690,23776,17134,8867,0,314,0.7141172820353707,0.8062331763122477,0.7938741721854304,0.6489229728205707,0.8880000872629767,13415,1494,3113,5754,0.8028298013454189,0.8690920528412666,0.945454956184752,0.0887125193100482,1.3079337290000694,False,134.0,True,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0,,
rf_full,random_forest,full,2,47690,23776,17134,8867,0,421,0.5722529829213132,0.7693051816958277,0.9274519716885743,0.41378143678809065,0.8758863998222426,14622,287,5198,3669,0.9905301923189338,0.9932061228769133,0.9994127322068795,0.4182772093976206,17.562054206000084,False,,True,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,100,59.35,5952.69
rf_selected,random_forest,selected,2,47690,23776,17134,8867,0,314,0.6383782605536583,0.790671265141319,0.8972630718954249,0.4954325025374986,0.8938502090306091,14406,503,4474,4393,0.9905290850628471,0.9932061228769133,0.9994186017905298,0.3521508245091888,16.09193023800026,False,,True,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,100,57.85,5715.55
majority,majority,none,3,71466,23949,26001,8472,0,0,0.0,0.6462482775898785,0.0,0.0,0.5,15477,0,8472,0,0.0,0.6361766434388381,0.5,0.0,0.0013977510002405324,False,,True,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0,,
lr_full,logistic_regression,full,3,71466,23949,26001,8472,0,490,0.7335953316660713,0.8131863543362979,0.7402066810862773,0.7271010387157696,0.8882392377540573,13315,2162,2312,6160,0.793280909053481,0.8594856295301262,0.9330750211440446,0.05968557738740976,2.2559647819998645,False,155.0,True,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0,,
lr_selected,logistic_regression,selected,3,71466,23949,26001,8472,0,366,0.7330198226084886,0.8127270449705625,0.7394019454785637,0.7267469310670444,0.8855482186763106,13307,2170,2315,6157,0.7905182373328932,0.8579184507318165,0.9321277494199871,0.057498414724404534,2.1644010109998817,False,182.0,True,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0,,
rf_full,random_forest,full,3,71466,23949,26001,8472,0,490,0.6493296007072344,0.8012443108271744,0.8637789102312818,0.5201841359773371,0.888776462322507,14782,695,4065,4407,0.9927541817621214,0.9947387568913889,0.9995158008392888,0.34342458105488693,37.56355640500033,False,,True,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,100,67.16,10304.22
rf_selected,random_forest,selected,3,71466,23949,26001,8472,0,366,0.6683859875349237,0.8067142678191156,0.850191361399672,0.5506373937677054,0.885307818851855,14655,822,3807,4665,0.9926379895158803,0.9946548008843366,0.9995162885160543,0.3242520019809566,37.07272425700012,False,,True,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,100,66.9,10113.4
