candidate,candidate_order,family,representation,parameters_json,mean_fit_seconds,mean_f1,mean_accuracy,mean_precision,mean_recall,mean_roc_auc,mean_training_f1,mean_f1_gap,fold_sd_f1
lr_01,0,logistic_regression,selected,"{""model__C"": 0.01, ""model__class_weight"": null}",1.1279643376668294,0.7011991788300421,0.8073491763914992,0.8016941515022374,0.6274070609466559,0.8839244389991348,0.795929036494409,0.09472985766436692,0.020462000671129413
lr_02,1,logistic_regression,selected,"{""model__C"": 0.01, ""model__class_weight"": ""balanced""}",1.1124742031097412,0.7267280848001354,0.7985075711241177,0.7163284464884926,0.7427688896302714,0.8835024170006286,0.8151762666736232,0.0884481818734878,0.015756002950635572
lr_03,2,logistic_regression,selected,"{""model__C"": 0.1, ""model__class_weight"": null}",1.188456614812215,0.7101842843160343,0.8086526927908947,0.7876058699210096,0.6504785990262313,0.8852790784434769,0.8113606337388867,0.10117634942285236,0.01855413483073252
lr_04,3,logistic_regression,selected,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",1.1547188758850098,0.7316967924435923,0.8003291386705267,0.715143197080892,0.7555222466736143,0.8849113470722553,0.8248611984473558,0.09316440600376352,0.02059163259943145
lr_05,4,logistic_regression,selected,"{""model__C"": 1.0, ""model__class_weight"": null}",1.490014870961507,0.7136094599372149,0.8093139771357047,0.7833643114936036,0.659497573234905,0.8829047872554631,0.814529252021377,0.10091979208416213,0.019669190969926677
lr_06,5,logistic_regression,selected,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",1.5344069798787434,0.7321017246390454,0.8002444870727664,0.7153215655764971,0.7567720624043646,0.8826657403063177,0.8277786703004999,0.09567694566145446,0.016451098935931642
lr_07,6,logistic_regression,selected,"{""model__C"": 10.0, ""model__class_weight"": null}",1.6526323954264324,0.7146572573892788,0.8091329513872872,0.7802278599177175,0.6630238453551983,0.88012584348028,0.8155358031746102,0.1008785457853314,0.01693825536310719
lr_08,7,logistic_regression,selected,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",1.666183312733968,0.7304460515472669,0.7985568602482696,0.7112469857222549,0.7572946936664028,0.8800017756273998,0.8286084741708276,0.09816242262356067,0.020174028643305423
rf_01,8,random_forest,selected,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 1}",1.9352896213531494,0.4970664463589527,0.7583239360768435,0.9930698676432637,0.3352831343268117,0.8729845609639103,0.712802859428023,0.21573641306907032,0.09155951241739148
rf_02,9,random_forest,selected,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",1.9287342230478923,0.49722385542531256,0.758212464681558,0.9912903886002892,0.33562322019477725,0.87141651705155,0.7123163810496479,0.21509252562433534,0.0909977468765565
rf_03,10,random_forest,selected,"{""model__class_weight"": null, ""model__max_depth"": 16, ""model__min_samples_leaf"": 1}",4.990675528844197,0.5752114829454266,0.7794642455061885,0.9463857172569168,0.41552295108351056,0.8937517893573013,0.8481955829888795,0.27298410004345297,0.0650878892245161
rf_04,11,random_forest,selected,"{""model__class_weight"": null, ""model__max_depth"": 16, ""model__min_samples_leaf"": 10}",3.4068816502889,0.5589629536615804,0.7744025934540807,0.954236307404476,0.3966977789051547,0.8879686901333087,0.7948308714175623,0.23586791775598182,0.05105638086191263
rf_05,12,random_forest,selected,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 1}",19.981866041819256,0.6579935603681834,0.8038663002974883,0.8937171512858044,0.521713799954295,0.8922670346861431,0.9902021541073024,0.33220859373911904,0.016997410230781742
rf_06,13,random_forest,selected,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 10}",4.3792078495025635,0.5891917698325654,0.7833442531607502,0.9394046188156194,0.43198112360350094,0.889175599230653,0.8386551644456356,0.2494633946130702,0.055059661577609297
rf_07,14,random_forest,selected,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 1}",2.044257084528605,0.5730222034842519,0.776043466032899,0.9241200564342061,0.41738976313320636,0.8712103185951127,0.7766391035453223,0.20361690006107036,0.05762115431386065
rf_08,15,random_forest,selected,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",1.9438103040059407,0.5795608902092719,0.7775475157129353,0.9182176275338666,0.4245952854693664,0.8694339671850365,0.7780243635905358,0.1984634733812639,0.04310999657238668
rf_09,16,random_forest,selected,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 16, ""model__min_samples_leaf"": 1}",5.292920351028442,0.6628937811614727,0.8038414252345049,0.879480308925363,0.5345239652931215,0.8946194811957534,0.892187277364138,0.22929349620266537,0.02827731174439873
rf_10,17,random_forest,selected,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 16, ""model__min_samples_leaf"": 10}",3.386716286341349,0.6543366105513041,0.799963335068195,0.875508022740409,0.5252865270603969,0.885145188037025,0.8662696696948445,0.21193305914354044,0.03834122812123456
rf_11,18,random_forest,selected,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__min_samples_leaf"": 1}",21.13654549916585,0.6507704149672504,0.8017152026017857,0.899549865968918,0.5109703686213372,0.8940884564784373,0.990020927936737,0.3392505129694866,0.020468563580229252
rf_12,19,random_forest,selected,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__min_samples_leaf"": 10}",4.461096366246541,0.6692935581530545,0.8059276442316209,0.8761355340156868,0.5437220147035211,0.8897012118627812,0.8723108790177307,0.20301732086467628,0.020992916086721453
