candidate,family,fold,train_rows,validation_rows,training_canceled,validation_canceled,validation_membership_sha256,f1,accuracy,precision,recall,roc_auc,tn,fp,fn,tp,training_f1
lr_01,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6878277670438863,0.8106558406227765,0.8420341273863828,0.5813600839846028,0.8855857839248182,14385,935,3589,4984,0.8308337153710131
lr_01,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.6910148674854557,0.798956931359354,0.8094805391488717,0.6027968873350625,0.8862191086055144,13651,1258,3522,5345,0.78357459762298
lr_01,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7247549019607843,0.8124347571923671,0.7535677879714577,0.6980642115203022,0.8799684244670716,13543,1934,2558,5914,0.773378796489234
lr_02,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.709078779792589,0.7992298999707027,0.7385042950985347,0.6819083168085851,0.8846527511079016,13250,2070,2727,5846,0.8356908385556551
lr_02,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.73937741422404,0.8070323014804845,0.7448781046125672,0.7339573700236833,0.8857749796908961,12680,2229,2359,6508,0.8106314209858017
lr_02,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7317280603837771,0.7892605119211659,0.6656029397543758,0.8124409820585458,0.8800795202030879,12019,3458,1589,6883,0.7992065404794126
lr_03,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6946462200699489,0.8099861884233877,0.8203335980937252,0.6023562346903067,0.8823323246917352,14189,1131,3409,5164,0.8465473145780051
lr_03,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.7051790321565666,0.8029525572005384,0.7976936218678815,0.6318935378369234,0.888657532400446,13488,1421,3264,5603,0.8001016809125862
lr_03,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7307276007215875,0.8130193327487578,0.7447903898014219,0.7171860245514636,0.8848473782382495,13395,2082,2396,6076,0.7874329057260688
lr_04,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.71001221001221,0.8011970033064078,0.7448443704367875,0.6782923130759361,0.8817098028329271,13328,1992,2758,5815,0.8497361248042684
lr_04,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.7509859467866467,0.8114485195154778,0.7399299474605955,0.7623773542348032,0.8882408925338361,12533,2376,2107,6760,0.8212753788961967
lr_04,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7340922205319205,0.7883418931896947,0.6606552733452932,0.8258970727101038,0.8847833458500026,11883,3594,1475,6997,0.8035720916416026
lr_05,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6936912751677853,0.8089817101243042,0.8168168168168168,0.6028228158171002,0.8751660558271019,14161,1159,3405,5168,0.8502397173858188
lr_05,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.7141172820353707,0.8062331763122477,0.7938741721854304,0.6489229728205707,0.8880000872629767,13415,1494,3113,5754,0.8028298013454189
lr_05,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7330198226084886,0.8127270449705625,0.7394019454785637,0.7267469310670444,0.8855482186763106,13307,2170,2315,6157,0.7905182373328932
lr_06,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.7151315387902094,0.8046708240907379,0.7500640204865557,0.6833080601889654,0.8745430542912215,13368,1952,2715,5858,0.8510662824207493
lr_06,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.7479792630581414,0.809850269179004,0.7395282186948854,0.7566256907635052,0.8875986367217387,12546,2363,2158,6709,0.8242608297043319
lr_06,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7331943720687858,0.7862123679485573,0.65637245754805,0.8303824362606232,0.8858555299059929,11794,3683,1437,7035,0.8080088987764182
lr_07,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6984884645982498,0.8096513623236932,0.8090923053294424,0.6144873439869357,0.8675920995206579,14077,1243,3305,5268,0.8501194517792028
lr_07,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.7132110662107554,0.8059808209959624,0.7946799667497921,0.6468929739483478,0.8872405831723622,13427,1482,3131,5736,0.8044703289784354
lr_07,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7322722413588312,0.8117666708422063,0.7369113076739182,0.7276912181303116,0.8855448477478202,13276,2201,2307,6165,0.7920176287661923
lr_08,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.7088991270611057,0.7990206336583937,0.7379780386217342,0.6820249620902834,0.8673180897035717,13244,2076,2726,5847,0.8528988427658472
lr_08,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.748886910062333,0.8102288021534321,0.7392594220415339,0.7587684673508515,0.8868109249646343,12536,2373,2139,6728,0.8248817543356743
