fold,mode,train_rows,validation_rows,encoded_inputs,selected_inputs,numeric_inputs_to_pca,pca_components,pca_retained_numeric_variance,output_columns,f1,accuracy,precision,recall,roc_auc,iterations,fit_seconds,training_only_state_verified,dense_numeric_training_bytes
1,full,23797,23893,332,332,0,0,,332,0.6432309911395013,0.6376763068681204,0.4973234769309202,0.9102997783739648,0.8526417834058535,101,0.17289465900012146,True,0
1,selected,23797,23893,332,247,0,0,,247,0.6936912751677853,0.8089817101243042,0.8168168168168168,0.6028228158171002,0.8751660558271019,95,0.19979995799985772,True,0
1,pca,23797,23893,332,332,23,16,0.9588302268480657,325,0.69218675234124,0.8115347591344745,0.8360303830911493,0.5905750612387729,0.8768255786047581,101,0.21776180699998804,True,4378648
1,selected_pca,23797,23893,332,247,20,15,0.9640559841928455,242,0.6928590749256154,0.809902481898464,0.8242960579243765,0.5975737781406742,0.8761166920311781,109,0.20544289300005403,True,3807520
2,full,47690,23776,421,421,0,0,,421,0.7024551583767968,0.8032469717362046,0.8055433989788475,0.6227585429119206,0.8874123254249722,160,0.5171456240000225,True,0
2,selected,47690,23776,421,314,0,0,,314,0.7141172820353707,0.8062331763122477,0.7938741721854304,0.6489229728205707,0.8880000872629767,134,0.46046051100029217,True,0
2,pca,47690,23776,421,421,23,15,0.9500114848778625,413,0.6628300609343263,0.7905450874831763,0.82923936981196,0.5520469155294914,0.8848940593345731,153,0.48978266699987216,True,8774960
2,selected_pca,47690,23776,421,314,21,15,0.9641778345617114,308,0.6809605488850772,0.7966016150740243,0.8203783182323955,0.5820457877523402,0.8856020271334756,134,0.4637706989997241,True,8011920
3,full,71466,23949,490,490,0,0,,490,0.7335953316660713,0.8131863543362979,0.7402066810862773,0.7271010387157696,0.8882392377540573,155,0.8094750690002002,True,0
3,selected,71466,23949,490,366,0,0,,366,0.7330198226084886,0.8127270449705625,0.7394019454785637,0.7267469310670444,0.8855482186763106,182,0.9346279739997954,True,0
3,pca,71466,23949,490,490,23,16,0.9569338780636814,483,0.7288807563281489,0.8143972608459643,0.7541335352770415,0.7052644003777149,0.8871516480972741,178,0.9242874460001076,True,13149744
3,selected_pca,71466,23949,490,366,21,15,0.9647104288729248,360,0.7292484153335346,0.8127270449705625,0.7463239836896083,0.7129367327667611,0.8843887336736476,159,0.7945432269998491,True,12006288
