family,fold,metric,step11_value,step12_value,absolute_difference,absolute_tolerance
logistic_regression,1,f1,0.6936912751677853,0.6936912751677853,0.0,1e-12
logistic_regression,2,f1,0.7141172820353707,0.7141172820353707,0.0,1e-12
logistic_regression,3,f1,0.7330198226084886,0.7330198226084886,0.0,1e-12
logistic_regression,1,accuracy,0.8089817101243042,0.8089817101243042,0.0,1e-12
logistic_regression,2,accuracy,0.8062331763122477,0.8062331763122477,0.0,1e-12
logistic_regression,3,accuracy,0.8127270449705625,0.8127270449705625,0.0,1e-12
logistic_regression,1,precision,0.8168168168168168,0.8168168168168168,0.0,1e-12
logistic_regression,2,precision,0.7938741721854304,0.7938741721854304,0.0,1e-12
logistic_regression,3,precision,0.7394019454785637,0.7394019454785637,0.0,1e-12
logistic_regression,1,recall,0.6028228158171002,0.6028228158171002,0.0,1e-12
logistic_regression,2,recall,0.6489229728205707,0.6489229728205707,0.0,1e-12
logistic_regression,3,recall,0.7267469310670444,0.7267469310670444,0.0,1e-12
logistic_regression,1,roc_auc,0.8751660558271019,0.8751660558271019,0.0,1e-12
logistic_regression,2,roc_auc,0.8880000872629767,0.8880000872629767,0.0,1e-12
logistic_regression,3,roc_auc,0.8855482186763106,0.8855482186763106,0.0,1e-12
random_forest,1,f1,0.6672164330159682,0.6672164330159682,0.0,1e-12
random_forest,2,f1,0.6383782605536583,0.6383782605536583,0.0,1e-12
random_forest,3,f1,0.6683859875349237,0.6683859875349237,0.0,1e-12
random_forest,1,accuracy,0.8142133679320303,0.8142133679320303,0.0,1e-12
random_forest,2,accuracy,0.790671265141319,0.790671265141319,0.0,1e-12
random_forest,3,accuracy,0.8067142678191156,0.8067142678191156,0.0,1e-12
random_forest,1,precision,0.9336970205623164,0.9336970205623164,0.0,1e-12
random_forest,2,precision,0.8972630718954249,0.8972630718954249,0.0,1e-12
random_forest,3,precision,0.850191361399672,0.850191361399672,0.0,1e-12
random_forest,1,recall,0.5190715035576811,0.5190715035576811,0.0,1e-12
random_forest,2,recall,0.4954325025374986,0.4954325025374986,0.0,1e-12
random_forest,3,recall,0.5506373937677054,0.5506373937677054,0.0,1e-12
random_forest,1,roc_auc,0.8976430572149675,0.8976430457940848,1.1420882684021194e-08,1e-07
random_forest,2,roc_auc,0.8938502090306091,0.8938502241594193,1.5128810204600995e-08,1e-07
random_forest,3,roc_auc,0.885307818851855,0.8853078341049251,1.5253070029253024e-08,1e-07
