feature,coefficient,absolute_coefficient,direction
categorical__deposit_type_Non Refund,2.9296577269949275,2.9296577269949275,higher cancellation score
categorical__agent_89,-2.783723632676571,2.783723632676571,lower cancellation score
categorical__agent_152,-2.7445873489659975,2.7445873489659975,lower cancellation score
categorical__agent_17,2.5826589092873866,2.5826589092873866,higher cancellation score
categorical__agent_11,-2.566354710027059,2.566354710027059,lower cancellation score
numeric__required_car_parking_spaces,-2.2907993650848786,2.2907993650848786,lower cancellation score
categorical__agent_69,-2.1381714327259984,2.1381714327259984,lower cancellation score
categorical__agent_201,-2.1146855751190543,2.1146855751190543,lower cancellation score
categorical__agent_308,-2.0613795459023083,2.0613795459023083,lower cancellation score
categorical__agent_468,-2.0383076160430624,2.0383076160430624,lower cancellation score
categorical__agent_467,-2.0298521355809145,2.0298521355809145,lower cancellation score
categorical__agent_22,-2.0072967775395094,2.0072967775395094,lower cancellation score
categorical__agent_157,-2.0004519651931694,2.0004519651931694,lower cancellation score
categorical__country_PAN,-1.9983391303252591,1.9983391303252591,lower cancellation score
categorical__agent_7,-1.9981145172276547,1.9981145172276547,lower cancellation score
categorical__agent_168,-1.994838838153526,1.994838838153526,lower cancellation score
categorical__agent_220,-1.9939826950483652,1.9939826950483652,lower cancellation score
categorical__agent_159,-1.9498694296503234,1.9498694296503234,lower cancellation score
categorical__agent_127,-1.937058591305595,1.937058591305595,lower cancellation score
categorical__agent_10,-1.9228872347568116,1.9228872347568116,lower cancellation score
categorical__country_HKG,1.920046786618005,1.920046786618005,higher cancellation score
categorical__agent_28,-1.9083749602732971,1.9083749602732971,lower cancellation score
categorical__country_ARE,1.9037898216840448,1.9037898216840448,higher cancellation score
categorical__agent_27,-1.8857816021825289,1.8857816021825289,lower cancellation score
categorical__agent_63,-1.8755849093062913,1.8755849093062913,lower cancellation score
numeric__previous_cancellation_share,1.8686691430325724,1.8686691430325724,higher cancellation score
categorical__agent_36,-1.805952097807814,1.805952097807814,lower cancellation score
categorical__agent_23,-1.774898070985919,1.774898070985919,lower cancellation score
