probability_bin,rows,mean_predicted_probability,observed_cancellation_rate,errors
0.0–0.1,3585,0.03693564492434845,0.01394700139470014,50
0.1–0.2,2082,0.14695449922602458,0.052833813640730067,110
0.2–0.3,1668,0.24943916517947337,0.1079136690647482,180
0.3–0.4,1655,0.34837293419312376,0.2012084592145015,333
0.4–0.5,1717,0.4490354383889775,0.28596389050669774,491
0.5–0.6,1817,0.5515831047822302,0.3615850302696753,1160
0.6–0.7,1913,0.6522498357744231,0.4589649764767381,1035
0.7–0.8,2351,0.7532346070645222,0.5754997873245428,998
0.8–0.9,3039,0.8502273341950506,0.6781836130306022,978
0.9–1.0,3968,0.9723506071617989,0.9105342741935484,355
